,Compound,Date,Negative,Neutral,Positive,Tweets Ago,target
393,-0.8516,Tue Jul 31 14:00:02 +0000 2018,0.583,0.417,0.0,94,FoxNews
394,0.0,Tue Jul 31 13:59:49 +0000 2018,1.0,0.0,0.0,95,FoxNews
395,0.0,Tue Jul 31 13:58:22 +0000 2018,1.0,0.0,0.0,96,FoxNews
396,0.6361,Tue Jul 31 13:52:59 +0000 2018,0.766,0.0,0.234,97,FoxNews
397,-0.8225,Tue Jul 31 13:40:29 +0000 2018,0.568,0.432,0.0,98,FoxNews
398,0.0,Tue Jul 31 13:20:31 +0000 2018,1.0,0.0,0.0,99,FoxNews
399,0.0258,Tue Jul 31 13:12:55 +0000 2018,0.932,0.0,0.068,100,FoxNews
400,-0.8957,Tue Jul 31 23:17:03 +0000 2018,0.64,0.36,0.0,1,nytimes
401,0.0,Tue Jul 31 23:02:01 +0000 2018,1.0,0.0,0.0,2,nytimes
402,0.4019,Tue Jul 31 22:56:04 +0000 2018,0.802,0.0,0.198,3,nytimes
403,-0.2732,Tue Jul 31 22:44:45 +0000 2018,0.905,0.095,0.0,4,nytimes
404,0.0,Tue Jul 31 22:32:02 +0000 2018,1.0,0.0,0.0,5,nytimes
405,0.6908,Tue Jul 31 22:16:05 +0000 2018,0.778,0.0,0.222,6,nytimes
406,-0.7579,Tue Jul 31 22:02:08 +0000 2018,0.679,0.264,0.057,7,nytimes
407,0.1779,Tue Jul 31 21:47:07 +0000 2018,0.931,0.0,0.069,8,nytimes
408,-0.5106,Tue Jul 31 21:32:04 +0000 2018,0.766,0.172,0.062,9,nytimes
409,-0.25,Tue Jul 31 21:17:01 +0000 2018,0.913,0.087,0.0,10,nytimes
410,0.0,Tue Jul 31 21:00:11 +0000 2018,1.0,0.0,0.0,11,nytimes
411,-0.0258,Tue Jul 31 20:45:08 +0000 2018,0.942,0.058,0.0,12,nytimes
412,0.0,Tue Jul 31 20:31:04 +0000 2018,1.0,0.0,0.0,13,nytimes
413,0.0,Tue Jul 31 20:15:10 +0000 2018,1.0,0.0,0.0,14,nytimes
414,0.2023,Tue Jul 31 20:00:13 +0000 2018,0.917,0.0,0.083,15,nytimes
415,0.0,Tue Jul 31 19:45:10 +0000 2018,1.0,0.0,0.0,16,nytimes
416,0.7783,Tue Jul 31 19:30:12 +0000 2018,0.625,0.0,0.375,17,nytimes
417,0.0,Tue Jul 31 19:15:09 +0000 2018,1.0,0.0,0.0,18,nytimes
418,-0.25,Tue Jul 31 19:00:07 +0000 2018,0.746,0.149,0.105,19,nytimes
419,0.0,Tue Jul 31 18:45:07 +0000 2018,1.0,0.0,0.0,20,nytimes
420,-0.296,Tue Jul 31 18:30:15 +0000 2018,0.879,0.121,0.0,21,nytimes
421,-0.5719,Tue Jul 31 18:15:11 +0000 2018,0.812,0.188,0.0,22,nytimes
422,-0.3182,Tue Jul 31 18:00:18 +0000 2018,0.897,0.103,0.0,23,nytimes
423,0.0,Tue Jul 31 17:45:10 +0000 2018,1.0,0.0,0.0,24,nytimes
424,0.4588,Tue Jul 31 17:30:09 +0000 2018,0.864,0.0,0.136,25,nytimes
425,0.25,Tue Jul 31 17:15:04 +0000 2018,0.614,0.149,0.237,26,nytimes
426,-0.2732,Tue Jul 31 17:05:08 +0000 2018,0.89,0.11,0.0,27,nytimes
427,0.0,Tue Jul 31 16:50:03 +0000 2018,1.0,0.0,0.0,28,nytimes
428,-0.5859,Tue Jul 31 16:35:04 +0000 2018,0.803,0.15,0.047,29,nytimes
429,-0.4767,Tue Jul 31 16:21:57 +0000 2018,0.838,0.162,0.0,30,nytimes
430,0.0,Tue Jul 31 16:15:06 +0000 2018,1.0,0.0,0.0,31,nytimes
431,0.0,Tue Jul 31 16:00:18 +0000 2018,1.0,0.0,0.0,32,nytimes
432,0.0,Tue Jul 31 15:50:05 +0000 2018,1.0,0.0,0.0,33,nytimes
433,0.5574,Tue Jul 31 15:39:03 +0000 2018,0.805,0.0,0.195,34,nytimes
434,0.0,Tue Jul 31 15:35:00 +0000 2018,1.0,0.0,0.0,35,nytimes
435,0.0,Tue Jul 31 15:30:09 +0000 2018,1.0,0.0,0.0,36,nytimes
436,0.0,Tue Jul 31 15:15:05 +0000 2018,1.0,0.0,0.0,37,nytimes
437,0.4019,Tue Jul 31 15:00:14 +0000 2018,0.876,0.0,0.124,38,nytimes
438,0.5423,Tue Jul 31 14:45:05 +0000 2018,0.791,0.0,0.209,39,nytimes
439,0.0,Tue Jul 31 14:30:07 +0000 2018,1.0,0.0,0.0,40,nytimes
440,0.0,Tue Jul 31 14:15:06 +0000 2018,1.0,0.0,0.0,41,nytimes
441,0.5859,Tue Jul 31 14:00:09 +0000 2018,0.68,0.084,0.236,42,nytimes
442,-0.5106,Tue Jul 31 13:45:06 +0000 2018,0.798,0.202,0.0,43,nytimes
443,0.0,Tue Jul 31 13:30:08 +0000 2018,1.0,0.0,0.0,44,nytimes
444,-0.296,Tue Jul 31 13:15:09 +0000 2018,0.855,0.145,0.0,45,nytimes
445,0.0,Tue Jul 31 13:00:18 +0000 2018,1.0,0.0,0.0,46,nytimes
446,-0.5255,Tue Jul 31 12:50:03 +0000 2018,0.738,0.193,0.068,47,nytimes
447,-0.6486,Tue Jul 31 12:40:06 +0000 2018,0.791,0.209,0.0,48,nytimes
448,-0.2732,Tue Jul 31 12:31:04 +0000 2018,0.89,0.11,0.0,49,nytimes
449,0.4215,Tue Jul 31 12:15:04 +0000 2018,0.872,0.0,0.128,50,nytimes
450,0.0,Tue Jul 31 11:44:07 +0000 2018,1.0,0.0,0.0,51,nytimes
451,0.0959,Tue Jul 31 11:32:04 +0000 2018,0.759,0.114,0.128,52,nytimes
452,0.0,Tue Jul 31 11:14:04 +0000 2018,1.0,0.0,0.0,53,nytimes
453,0.1027,Tue Jul 31 11:00:12 +0000 2018,0.787,0.097,0.116,54,nytimes
454,-0.3818,Tue Jul 31 10:46:00 +0000 2018,0.714,0.175,0.111,55,nytimes
455,0.7506,Tue Jul 31 10:30:04 +0000 2018,0.714,0.0,0.286,56,nytimes
